index,kind,name,codepoint,ink,light,sig
0,text,CONTROL-TEXT,0,272,318,2dadbfbff3f30000
1,blank,CONTROL-BLANK,0,0,0,0000000000000000
2,symbol,GlobalNavButton,U+E700,180,180,ff00ff00ffff0000
3,symbol,Wifi,U+E701,173,216,fefc7cf8f0c00000
4,symbol,Bluetooth,U+E702,175,222,78f87078f8703000
5,symbol,Connect,U+E703,188,240,ff09090ffefe0000
6,symbol,InternetSharing,U+E704,198,248,1092dfd757cf8200
7,symbol,VPN,U+E705,201,271,3828fefffffe0000
8,symbol,Brightness,U+E706,211,276,d6fc7cef7cfe9610
9,symbol,MapPin,U+E707,219,254,8296d6fc10383838
10,symbol,QuietHours,U+E708,142,183,cf9c3030a0a0e020
11,symbol,Airplane,U+E709,246,332,387fffffff383c1c
12,symbol,Tablet,U+E70A,200,227,ff33030303ffff00
13,symbol,QuickNote,U+E70B,187,209,0e0e0e020202fe00
14,symbol,RememberedDevice,U+E70C,312,347,ffffff8782fe0000
15,symbol,ChevronDown,U+E70D,89,116,003078cc86030000
16,symbol,ChevronUp,U+E70E,89,117,000386cc78300000
17,symbol,Edit,U+E70F,176,229,1f366cd8b0e0c080
18,symbol,Add,U+E710,171,171,3030ffff30303030
19,symbol,Cancel,U+E711,145,233,c6ec78387cce8600
20,symbol,More,U+E712,42,50,0000b2b600000000
21,symbol,Setting,U+E713,272,346,feb7ffefbffefc78
22,symbol,Setting,U+E713,272,346,feb7ffefbffefc78
23,symbol,Video,U+E714,178,258,7fffc3c3ff7f0000
24,symbol,Mail,U+E715,285,325,ff03137fcfff0000
25,symbol,People,U+E716,210,268,3e1e16beecb0f0e0
26,symbol,Phone,U+E717,188,235,38fc9e0f0f1b0f06
27,symbol,Pin,U+E718,146,200,1038f81ff8380000
28,symbol,Shop,U+E719,275,330,e2e2e2e2fefe7c7c
29,symbol,Stop,U+E71A,159,159,020202020202fe00
30,symbol,Link,U+E71B,216,270,f0183efbf33e0000
31,symbol,Filter,U+E71C,204,249,3838386cc683ff00
32,symbol,AllApps,U+E71D,316,376,ff07ff07ff07ff07
33,symbol,Zoom,U+E71E,188,251,c0fc7e6363633e1c
34,symbol,ZoomOut,U+E71F,212,287,c0fc7e637f633e1c
35,symbol,Microphone,U+E720,245,320,fefeeeee6c6c7c78
36,symbol,Search,U+E721,146,196,06fcf8180818f8f0
37,symbol,Search,U+E721,146,196,06fcf8180818f8f0
38,symbol,Camera,U+E722,300,364,ff7b4fcf7fffff00
39,symbol,Attach,U+E723,243,326,f8f8f8f8f8f83838
40,symbol,Send,U+E724,266,316,0f3ef2fef23f0701
41,symbol,SendFill,U+E725,416,463,0f3efefefe3f0701
42,symbol,WalkSolid,U+E726,308,348,7c783cfcfc383000
43,symbol,InPrivate,U+E727,377,452,ffdb6fb7ffffff00
44,symbol,FavoriteList,U+E728,209,276,fc1cecfeff303010
45,symbol,PageSolid,U+E729,766,775,fefefefefefe7e3e
46,symbol,Forward,U+E72A,152,178,60c0ffffc0603000
47,symbol,Back,U+E72B,162,188,180cfeff060c1800
48,symbol,Refresh,U+E72C,137,179,86030303038ace4e
49,symbol,Share,U+E72D,251,328,ffe7ffff9ff9e060
50,symbol,Lock,U+E72E,222,245,868686fecccc7c38
51,symbol,ReportHacked,U+E730,214,269,fc9693131393ff38
52,symbol,EMI,U+E731,294,360,fcfcf4fcfcfcfc00
53,symbol,Blocked,U+E733,147,147,4c4c4c4c7c000000
