index,kind,name,codepoint,ink,light,sig
0,text,CONTROL-TEXT,0,272,318,2dadbfbff3f30000
1,blank,CONTROL-BLANK,0,0,0,0000000000000000
2,symbol,GlobalNavButton,U+E700,224,224,ff00ff0000ff0000
3,symbol,Wifi,U+E701,185,232,fef6ecd8f0c00000
4,symbol,Bluetooth,U+E702,223,274,fc783078fc703010
5,symbol,Connect,U+E703,186,229,0909090fffff0000
6,symbol,InternetSharing,U+E704,223,288,9393d7d7d7c78383
7,symbol,VPN,U+E705,244,311,6c78ffffffff0000
8,symbol,Brightness,U+E706,261,328,d67c6cc77cfe9210
9,symbol,MapPin,U+E707,261,308,939392fe10386c38
10,symbol,QuietHours,U+E708,154,180,8f18302060e0e0e0
11,symbol,Airplane,U+E709,337,388,28ffdfdfff283c1c
12,symbol,Tablet,U+E70A,137,174,313101010101ffff
13,symbol,QuickNote,U+E70B,219,262,0f0f01010101ffff
14,symbol,RememberedDevice,U+E70C,304,354,ffff070701ffff00
15,symbol,ChevronDown,U+E70D,127,159,3078cc8603010000
16,symbol,ChevronUp,U+E70E,97,160,010386cc78300000
17,symbol,Edit,U+E70F,215,227,1f3366cc98b0e0c0
18,symbol,Add,U+E710,154,212,3030ffff30303030
19,symbol,Cancel,U+E711,203,207,86cc783078cc8602
20,symbol,More,U+E712,48,54,0000333300000000
21,symbol,Setting,U+E713,317,405,c7794b4b79c7b4fe
22,symbol,Setting,U+E713,317,405,c7794b4b79c7b4fe
23,symbol,Video,U+E714,258,326,ffffc1c1ffff0000
24,symbol,Mail,U+E715,287,337,ff0131fdcfffff00
25,symbol,People,U+E716,245,297,1e1e133eece030e0
26,symbol,Phone,U+E717,217,266,6cf61b0d0d0d0d07
27,symbol,Pin,U+E718,213,234,38f8f81ff8381800
28,symbol,Shop,U+E719,316,372,41414141fffff6fe
29,symbol,Stop,U+E71A,177,205,010101010101ffff
30,symbol,Link,U+E71B,263,325,f83e7ff9f17f3e00
31,symbol,Filter,U+E71C,259,310,787878cc8603ffff
32,symbol,AllApps,U+E71D,342,400,03ffff03ff03fbff
33,symbol,Zoom,U+E71E,235,285,c07e73614141633f
34,symbol,ZoomOut,U+E71F,276,327,c07e73615f41633f
35,symbol,Microphone,U+E720,298,357,feffc7444444447c
36,symbol,Search,U+E721,173,203,06fc18080c0818f0
37,symbol,Search,U+E721,173,203,06fc18080c0818f0
38,symbol,Camera,U+E722,287,370,79fdc5c5fd7bff7c
39,symbol,Attach,U+E723,341,401,fcfcfcfcfcfcec38
40,symbol,Send,U+E724,328,381,1f7be3fff33d0f03
41,symbol,SendFill,U+E725,568,598,1f7fffffff3f0f03
42,symbol,WalkSolid,U+E726,399,440,7c3c3efefe3c7030
43,symbol,InPrivate,U+E727,403,492,b3d96db7ffffffff
44,symbol,FavoriteList,U+E728,256,320,fceceeffff383030
45,symbol,PageSolid,U+E729,914,943,ffffffffffffff7f
46,symbol,Forward,U+E72A,134,198,c080ffff80c06020
47,symbol,Back,U+E72B,178,234,0c06ffff060c1810
48,symbol,Refresh,U+E72C,143,184,03010101010f8fcf
49,symbol,Share,U+E72D,237,320,c147ffff0df9e0c0
50,symbol,Lock,U+E72E,238,269,030303ffc4c4cc7c
51,symbol,ReportHacked,U+E730,217,271,d79311111111d7fe
52,symbol,EMI,U+E731,377,450,fefec6fefefefefe
53,symbol,Blocked,U+E733,182,212,ccccccccfc000000
54,symbol,Favorite,U+E734,260,328,fcccceffff383030
